UNITID,MISTNO,INSTDATE,MODIFIED_DT,SIGN_CODE,SIGN_DSCRN,SIGN_SIZE,SIGN_TYPE,STATUS_CD,SUPPORT_TYPE,POINT
1109714576,0775,1980/01/01,2018/01/11,11-648,Turn Control - Arrow thru+right,900x900,Flat Sheet,As-built,Arm,POINT (-114.0939557 51.0644989)
1110033511,0101,2016/12/09,2016/12/13,11-645,Turn Control - Dual Left,900x900,Flat Sheet,Active,Arm,POINT (-114.152407 51.0768144)
1110128900,3455,2011/12/07,2018/06/13,11-950,Reserved Lane M-F 7-830,900x1500,Flat Sheet,As-built,Arm,POINT (-114.0347682 51.0414746)
1109626378,B2641,2010/08/26,2019/07/12,14-308,Pedestrian Crosswalk,600x900,Flat Sheet,As-built,Trunk,POINT (-114.1266762 50.9946664)
1109708608,0312,2017/01/27,2023/08/17,11-830,Left Turn Restriction - PM,900x900,Flat Sheet,As-built,Arm,POINT (-114.062945 51.0482533)
1109356709,0741,1996/11/04,2019/07/12,11-180,No Left Turn,900x900,Flat Sheet,As-built,Arm,POINT (-114.0694717 50.931744)
1109978615,B2803,2016/01/18,2019/05/13,14-320,TAC Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.1096314 50.9613801)
1110195935,0041,1988/06/29,2018/11/28,SPECIAL,Turn Control - Dual Left + Right,900x900,Flat Sheet,As-built,Arm,POINT (-114.1703157 51.122997)
1110014475,B2635,2017/07/04,2019/06/26,14-320,Pedestrian Corridor,900x1200,Other,As-built,Arm,POINT (-114.144978 51.0210997)
1109356963,3477,2000/01/01,2010/11/18,11-950,Reserved lane,900x1500,Flat Sheet,As-built,Arm,POINT (-114.0626273 51.0607623)
1110139590,0064,2005/05/12,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.2089693 51.1141364)
1110120219,0888,2018/07/30,2018/08/07,11-651,Turn Control - Thru,900x900,Flat Sheet,Active,Arm,POINT (-114.0362543 51.1106277)
1109354591,0602,2009/11/04,2012/12/14,11-645,Turn Control - Arrow Left,900x900,Flat Sheet,Active,Pedestal,POINT (-114.0715485 51.0015444)
1110139570,0926,1998/08/19,2018/10/03,11-250,KRMS,600x750,Flat Sheet,As-built,Pedestal,POINT (-114.1316647 51.1404269)
